Date,Open,High,Low,Close,Volume,,,,,,,,,,,
2020/05/06,42.55,42.95,42.3,42.6,"10,809",,,,,,,,,,,
2020/05/05,42.3,43.05,42.3,42.85,"14,616",,,,,,,,,,,
2020/05/04,41.6,42.65,41.6,42.2,"18,229",,,,,,,,,,,
2020/04/30,42.55,43.35,42.55,43.2,"18,924",,,,,,,,,,,
2020/04/29,42.3,42.55,42.25,42.55,"13,649",,,,,,,,,,,
2020/04/28,42.3,42.3,41.85,42.25,"9,714",,,,,,,,,,,
2020/04/27,42.25,42.4,42,42,"14,249",,,,,,,,,,,
2020/04/24,42.15,42.2,41.7,42,"9,369",,,,,,,,,,,
2020/04/23,41.6,42.4,41.6,42.15,"16,668",,,,,,,,,,,
2020/04/22,41.4,41.7,41.25,41.6,"12,760",,,,,,,,,,,
2020/04/21,42.35,42.45,41.6,41.8,"17,436",,,,,,,,,,,
2020/04/20,42.2,42.5,42.1,42.35,"10,237",,,,,,,,,,,
2020/04/17,42.2,42.4,41.95,42,"13,674",,,,,,,,,,,
2020/04/16,41.45,42.1,41.35,41.85,"13,136",,,,,,,,,,,
2020/04/15,41.9,42.05,41.8,41.8,"19,431",,,,,,,,,,,
2020/04/14,40.8,41.8,40.8,41.65,"15,494",,,,,,,,,,,
2020/04/13,40.8,41.1,40.7,40.8,"5,565",,,,,,,,,,,
2020/04/10,40.6,41,40.6,41,"7,289",,,,,,,,,,,
2020/04/09,41,41.1,40.5,40.55,"14,118",,,,,,,,,,,
2020/04/08,40,41.2,40,41,"19,695",,,,,,,,,,,
2020/04/07,39.6,40.1,39.5,39.95,"17,317",,,,,,,,,,,
2020/04/06,39.5,39.55,38.5,39.05,"12,469",,,,,,,,,,,
2020/04/01,39.5,39.55,39,39,"12,970",,,,,,,,,,,
2020/03/31,39.25,39.5,39,39.5,"17,002",,,,,,,,,,,
2020/03/30,38.25,39.2,38,39.15,"11,479",,,,,,,,,,,
2020/03/27,39.3,39.45,38.8,38.95,"14,154",,,,,,,,,,,
2020/03/26,39.5,39.5,38.55,38.6,"17,364",,,,,,,,,,,
2020/03/25,39.05,39.5,38.7,38.8,"17,956",,,,,,,,,,,
2020/03/24,38.3,38.7,37.8,38.25,"23,929",,,,,,,,,,,
2020/03/23,35.8,36.95,34.5,36.1,"30,694",,,,,,,,,,,
2020/03/20,34.15,36.95,34.15,36.95,"32,820",,,,,,,,,,,
2020/03/19,34.9,34.9,33.35,33.6,"36,658",,,,,,,,,,,
2020/03/18,37.3,37.5,36,36,"36,467",,,,,,,,,,,
2020/03/17,38,38.2,37.45,37.6,"43,649",,,,,,,,,,,
2020/03/16,40.25,40.25,38.85,38.85,"20,548",,,,,,,,,,,
2020/03/13,39,40.55,38.3,40.25,"42,284",,,,,,,,,,,
2020/03/12,41.7,41.8,40.4,40.75,"29,637",,,,,,,,,,,
2020/03/11,42,42.25,41.7,41.8,"15,028",,,,,,,,,,,
2020/03/10,41.2,41.9,41.2,41.6,"18,373",,,,,,,,,,,
2020/03/09,42.2,42.4,41.7,41.85,"21,445",,,,,,,,,,,
2020/03/06,43.2,43.2,42.5,42.85,"13,206",,,,,,,,,,,
2020/03/05,42.9,43.3,42.85,43.3,"10,483",,,,,,,,,,,
2020/03/04,42.6,42.95,42.6,42.85,"9,537",,,,,,,,,,,
2020/03/03,42.6,42.9,42.5,42.65,"14,474",,,,,,,,,,,
2020/03/02,41.4,42.6,41.4,42.25,"19,464",,,,,,,,,,,
2020/02/27,42.2,42.4,42.05,42.25,"15,386",,,,,,,,,,,
2020/02/26,42.15,42.6,42.1,42.2,"20,869",,,,,,,,,,,
2020/02/25,42.35,43,42.3,42.7,"17,268",,,,,,,,,,,
2020/02/24,43,43.2,42.8,43,"12,606",,,,,,,,,,,
2020/02/21,43.15,43.35,43.05,43.25,"10,565",,,,,,,,,,,
2020/02/20,43.55,43.8,43.15,43.15,"10,840",,,,,,,,,,,
2020/02/19,43.1,43.5,43.1,43.4,"12,463",,,,,,,,,,,
2020/02/18,43,43.2,42.9,43.05,"9,220",,,,,,,,,,,
2020/02/17,42.8,43.1,42.75,43,"10,347",,,,,,,,,,,
2020/02/14,43.2,43.4,43.15,43.2,"9,297",,,,,,,,,,,
2020/02/13,42.8,43.45,42.8,43.15,"18,326",,,,,,,,,,,
2020/02/12,42.6,43,42.6,42.8,"14,367",,,,,,,,,,,
2020/02/11,42.5,42.9,42.5,42.6,"15,825",,,,,,,,,,,
2020/02/10,42,42.6,41.7,42.4,"12,820",,,,,,,,,,,
